"geneID" "HG002" "HG003" "WB100071" "WB100005" "WB100061" "WB100043" "WB100083" "WB100079" "WB100078" "WB100074" "WB100038" "WB100017"
"ENSG00000011451.21_9" 3475 3884 335 1166 1079 422 515 300 463 686 906 397
"ENSG00000011454.17_5" 5739 6152 310 1173 1548 464 332 310 325 410 812 311
"ENSG00000011465.17_7" 0 0 10 13 29 6 27 22 0 53 3 0
"ENSG00000011478.12_4" 2566 416 80 181 158 77 32 68 68 65 120 65
"ENSG00000011485.15_4" 5930 2531 345 1568 1036 476 251 309 427 500 898 364
"ENSG00000011523.14_5" 4198 2773 322 991 1365 410 190 220 224 463 781 211
"ENSG00000011566.15_7" 1728 2 69 279 230 103 27 45 60 85 108 45
"ENSG00000011590.14_5" 436 1326 17 116 56 14 6 37 29 39 39 13
"ENSG00000011600.12_4" 39924 44316 4144 16529 14176 5712 18017 3908 6847 10602 15478 18288
"ENSG00000011638.10_4" 2463 2702 90 373 313 104 83 75 103 116 266 106
"ENSG00000011677.13_5" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000012048.23_8" 1750 5390 47 244 323 114 151 92 72 86 148 69
"ENSG00000012061.16_8" 3689 4755 629 2056 1811 641 454 397 602 1020 1260 863
"ENSG00000012124.17_5" 31140 19757 1403 3985 3102 1531 389 567 1436 1446 2107 1859
"ENSG00000012171.20_7" 0 4 4 24 20 7 18 13 12 14 24 43
"ENSG00000012174.12_5" 554 304 56 230 222 72 34 56 44 67 79 20
"ENSG00000012211.13_6" 2863 2279 71 272 277 91 152 73 157 188 277 163
"ENSG00000012223.13_6" 1200 7872 1887 115 1703 179 2220 35 63 2980 1353 5697
"ENSG00000012232.9_4" 7036 4998 536 2166 2863 927 3138 833 1294 1106 1637 880
"ENSG00000012504.15_7" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000012660.14_6" 34238 56445 1504 8364 8175 2487 4105 2295 2641 3063 4209 1885
"ENSG00000012779.11_4" 39357 57873 2028 10503 12160 3442 13219 3661 5358 6215 10949 5920
"ENSG00000012817.15_9" 13240 0 1082 0 4308 0 2 0 1173 1 3039 830
