"Geneid" "HG002" "HG003"
"ENSG00000011021.23_6" 2555 5196
"ENSG00000011028.14_5" 1682 2182
"ENSG00000011052.21_4" 0 0
"ENSG00000011083.9_5" 0 0
"ENSG00000011105.14_6" 56 902
"ENSG00000011114.15_8" 5190 3202
"ENSG00000011132.12_8" 3835 2264
"ENSG00000011143.17_7" 1436 1145
"ENSG00000011198.10_9" 7421 9506
"ENSG00000011201.12_6" 0 0
"ENSG00000011243.18_7" 10315 5646
"ENSG00000011258.16_6" 5049 5897
"ENSG00000011260.14_4" 8442 2090
"ENSG00000011275.18_5" 12410 13576
"ENSG00000011295.16_8" 6324 3835
"ENSG00000011304.20_8" 32004 25310
"ENSG00000011332.19_7" 182 0
"ENSG00000011347.10_8" 452 0
"ENSG00000011376.12_9" 3082 894
"ENSG00000011405.13_5" 4803 3655
"ENSG00000011422.12_7" 12944 27060
"ENSG00000011426.11_8" 421 0
"ENSG00000011451.21_9" 3475 3884
"ENSG00000011454.17_5" 5739 6152
"ENSG00000011465.17_7" 0 0
"ENSG00000011478.12_4" 2566 416
"ENSG00000011485.15_4" 5930 2531
"ENSG00000011523.14_5" 4198 2773
"ENSG00000011566.15_7" 1728 2
"ENSG00000011590.14_5" 436 1326
"ENSG00000011600.12_4" 39924 44316
"ENSG00000011638.10_4" 2463 2702
"ENSG00000011677.13_5" 0 0
"ENSG00000012048.23_8" 1750 5390
"ENSG00000012061.16_8" 3689 4755
"ENSG00000012124.17_5" 31140 19757
"ENSG00000012171.20_7" 0 4
"ENSG00000012174.12_5" 554 304
"ENSG00000012211.13_6" 2863 2279
"ENSG00000012223.13_6" 1200 7872
"ENSG00000012232.9_4" 7036 4998
"ENSG00000012504.15_7" 0 0
"ENSG00000012660.14_6" 34238 56445
"ENSG00000012779.11_4" 39357 57873
"ENSG00000012817.15_9" 13240 0
"ENSG00000012822.16_7" 15123 20887
"ENSG00000012963.15_5" 4838 5016
"ENSG00000012983.11_6" 3300 8982
"ENSG00000013016.16_5" 1758 3714
"ENSG00000013275.8_4" 9950 9918
"ENSG00000013288.9_5" 13074 15720
"ENSG00000013293.6_6" 14 0
"ENSG00000013297.12_5" 0 0
"ENSG00000013306.16_8" 45473 148693
"ENSG00000013364.19_5" 49091 38533
"ENSG00000013374.16_7" 22094 26633
"ENSG00000013375.16_9" 2622 1994
"ENSG00000013392.8_4" 500 254
"ENSG00000013441.16_6" 31804 28808
"ENSG00000013503.10_4" 574 1760
"ENSG00000013523.11_7" 2660 442
"ENSG00000013561.18_8" 6506 4811
"ENSG00000013563.14_7" 2450 1944
"ENSG00000013573.17_6" 4078 3332
"ENSG00000013583.10_8" 1814 5877
"ENSG00000013588.9_7" 30 0
"ENSG00000013619.14_8" 414 0
"ENSG00000013725.14_6" 22965 26005
"ENSG00000013810.19_5" 23191 21037
"ENSG00000014123.10_4" 7675 1898
"ENSG00000014138.9_6" 1562 1734
"ENSG00000014164.7_5" 5550 4122
"ENSG00000014216.16_7" 27405 22846
"ENSG00000014257.16_4" 1613 506
"ENSG00000014641.20_7" 8432 5919
"ENSG00000014824.14_5" 4402 5578
"ENSG00000014914.21_5" 3909 2804
"ENSG00000014919.13_5" 4817 2216
"ENSG00000015133.19_5" 16251 20329
"ENSG00000015153.14_5" 4838 5986
"ENSG00000015171.19_4" 5749 1964
"ENSG00000015285.11_4" 48190 64383
"ENSG00000015413.9_6" 0 0
"ENSG00000015475.18_6" 14593 13407
"ENSG00000015479.19_8" 1100 798
"ENSG00000015520.14_7" 0 0
"ENSG00000015532.10_4" 4986 3642
"ENSG00000015568.13_4" 22 26
"ENSG00000015592.16_5" 0 0
"ENSG00000015676.18_5" 11801 13022
"ENSG00000016082.15_4" 0 0
"ENSG00000016391.11_7" 0 0
"ENSG00000016402.13_5" 101 0
"ENSG00000016490.16_4" 0 0
"ENSG00000016602.9_3" 0 0
"ENSG00000016864.18_7" 4457 2874
"ENSG00000017260.19_8" 7050 9815
"ENSG00000017427.17_6" 0 0
"ENSG00000017483.15_9" 3387 7022
"ENSG00000017797.13_5" 18129 30946
"ENSG00000018189.13_5" 3071 5176
"ENSG00000018236.15_7" 0 0
"ENSG00000018280.17_4" 28347 65343
"ENSG00000018408.14_5" 943 0
"ENSG00000018510.16_8" 7826 3072
"ENSG00000018607.6_5" 0 0
"ENSG00000018610.15_5" 4132 512
"ENSG00000018625.15_4" 20 0
"ENSG00000018699.13_6" 1591 788
"ENSG00000018869.16_7" 248 398
"ENSG00000019102.12_5" 204 2640
"ENSG00000019144.19_9" 219 152
"ENSG00000019169.10_4" 1546 1775
"ENSG00000019186.10_5" 2 0
"ENSG00000019485.13_6" 862 830
"ENSG00000019505.8_6" 0 0
"ENSG00000019549.13_8" 0 0
"ENSG00000019582.15_7" 715099 703289
"ENSG00000019991.18_8" 2468 478
"ENSG00000019995.6_4" 880 194
"ENSG00000020129.16_5" 2974 1775
"ENSG00000020181.18_5" 518 1720
"ENSG00000020219.9_5" 0 0
"ENSG00000020256.20_6" 1688 1456
"ENSG00000020426.11_5" 1494 104
"ENSG00000020577.14_5" 1476 2494
"ENSG00000020633.18_3" 41486 39109
"ENSG00000020922.13_9" 6124 9824
"ENSG00000021300.14_7" 3296 1096
"ENSG00000021355.13_5" 28044 43369
"ENSG00000021461.17_3" 0 0
"ENSG00000021488.13_5" 24 0
"ENSG00000021574.12_7" 7109 7484
"ENSG00000021645.19_7" 138 0
"ENSG00000021762.20_6" 3846 7838
"ENSG00000021776.11_6" 8421 9618
"ENSG00000021826.17_7" 0 0
"ENSG00000021852.13_6" 0 0
"ENSG00000022267.19_9" 904 1602
"ENSG00000022277.12_5" 18070 17044
"ENSG00000022355.18_9" 0 0
"ENSG00000022556.16_8" 2750 1404
"ENSG00000022567.9_5" 13845 16642
"ENSG00000022840.16_7" 32324 60578
"ENSG00000022976.15_6" 1462 4003
"ENSG00000023041.11_6" 8522 7470
"ENSG00000023171.18_7" 3142 5380
"ENSG00000023191.17_5" 24541 12488
"ENSG00000023228.14_7" 5958 6769
"ENSG00000023287.13_8" 9919 9784
"ENSG00000023318.8_6" 12555 18165
"ENSG00000023330.15_4" 9347 6786
"ENSG00000023445.16_5" 40853 26603
"ENSG00000023516.9_4" 8658 6888
"ENSG00000023572.9_5" 1458 2497
"ENSG00000023608.5_5" 822 802
"ENSG00000023697.13_6" 3458 4724
"ENSG00000023734.11_5" 10747 7401
"ENSG00000023839.12_6" 536 182
"ENSG00000023892.11_4" 30044 38788
"ENSG00000023902.14_5" 32929 33149
"ENSG00000023909.10_5" 2356 2078
"ENSG00000024048.10_4" 20753 40444
"ENSG00000024422.12_5" 0 0
"ENSG00000024526.17_6" 528 0
"ENSG00000024862.17_5" 7650 11634
"ENSG00000025039.15_5" 2433 422
"ENSG00000025156.13_7" 2106 726
"ENSG00000025293.17_5" 10716 9551
"ENSG00000025423.11_5" 230 0
"ENSG00000025434.19_6" 540 270
"ENSG00000025708.14_7" 76414 74446
"ENSG00000025770.19_6" 6551 5110
"ENSG00000025772.8_5" 2480 1042
"ENSG00000025796.14_5" 10244 9960
"ENSG00000025800.14_5" 14279 10515
"ENSG00000026025.16_7" 76743 91323
"ENSG00000026036.22_5" 398 26
"ENSG00000026103.22_5" 5639 3832
"ENSG00000026297.16_8" 41679 49706
"ENSG00000026508.19_9" 80408 89361
"ENSG00000026559.14_7" 1304 1767
"ENSG00000026652.15_7" 3926 3590
"ENSG00000026751.17_5" 9654 14206
"ENSG00000026950.17_6" 55578 56648
"ENSG00000027001.10_6" 1728 222
"ENSG00000027075.15_6" 18871 17351
"ENSG00000027644.5_5" 0 0
"ENSG00000027697.15_8" 30948 20036
"ENSG00000027847.14_5" 2018 3933
"ENSG00000027869.11_5" 3343 5678
"ENSG00000028116.17_5" 1957 2052
"ENSG00000028137.19_5" 93983 136495
"ENSG00000028203.18_5" 2270 1300
"ENSG00000028277.21_7" 55548 42790
"ENSG00000028310.18_6" 8004 6944
"ENSG00000028528.15_7" 24795 28575
"ENSG00000028839.10_6" 2756 1278
"ENSG00000029153.14_7" 0 0
"ENSG00000029363.17_9" 21022 30452
"ENSG00000029364.12_4" 5278 4112
"ENSG00000029534.21_9" 1382 1986
"ENSG00000029559.7_4" 0 0
"ENSG00000029639.11_5" 1545 0
"ENSG00000029725.17_7" 6112 5363
"ENSG00000029993.15_8" 338 0
"ENSG00000030066.13_6" 6184 8836
"ENSG00000030110.13_5" 12699 7086
"ENSG00000030304.14_5" 199 0
"ENSG00000030419.16_6" 3377 1512
"ENSG00000030582.18_5" 121561 75886
"ENSG00000031003.10_5" 8692 3689
"ENSG00000031081.11_6" 3856 2772
"ENSG00000031691.7_4" 394 1200
"ENSG00000031698.13_5" 20321 16568
"ENSG00000031823.14_6" 9854 13238
"ENSG00000032219.19_5" 17425 23430
"ENSG00000032389.12_10" 2698 1192
"ENSG00000032444.16_7" 20726 24751
"ENSG00000032742.17_6" 2154 1275
"ENSG00000033011.13_6" 3503 2047
"ENSG00000033030.15_7" 4921 7769
"ENSG00000033050.9_6" 1090 2834
"ENSG00000033100.16_5" 12372 12263
"ENSG00000033122.21_8" 693 572
"ENSG00000033170.17_5" 6148 2180
"ENSG00000033178.13_5" 6431 4947
"ENSG00000033327.13_8" 17707 21419
"ENSG00000033627.16_5" 10881 2618
"ENSG00000033800.13_3" 14379 17537
"ENSG00000033867.16_6" 5012 5720
"ENSG00000034053.14_8" 4984 5958
"ENSG00000034152.19_7" 22496 24316
"ENSG00000034239.11_5" 0 0
"ENSG00000034510.6_4" 226121 173116
"ENSG00000034533.11_7" 2201 2208
"ENSG00000034677.13_6" 10225 9309
"ENSG00000034693.15_5" 1367 298
"ENSG00000034713.8_4" 13068 5830
"ENSG00000034971.17_6" 0 0
"ENSG00000035115.22_8" 3977 3703
"ENSG00000035141.8_6" 3190 1975
"ENSG00000035403.18_4" 16196 27632
"ENSG00000035499.13_5" 334 1051
"ENSG00000035664.11_7" 4370 11249
